Product,Brand,Model,URL
portable air conditioner,Danby,"Danby 14,000 BTU (10,000 SACC) 3-in-1 Portable AC",https://www.danby.com/products/portable-air-conditioners/dpa100e5wdb-6/
portable air conditioner,SereneLife,Compact & Portable Room Air Conditioner,https://serenelifehome.com/products/slpac8
portable air conditioner,Friedrich,ZoneAire Compact,https://www.friedrich.com/consumer/products/zoneaire-compact-portable
portable air conditioner,Midea,"8,000 BTU U-shaped Air Conditioner",https://www.midea.com/us/air-conditioners/window-air-conditioners/8000-btu-u-shaped-air-conditioner-maw08v1qwt
portable air conditioner,Hisense,"AP1019CW1G Hisense 10,000 Btu Portable Air Conditioner With Wifi Connected Replacement Parts",https://hisense.encompass.com/model/HISAP1019CW1G
portable air conditioner,BlackDecker,4000 B T U Portable Air Conditioner with Remote Control,https://www.blackanddecker.com/products/bpact08wt
portable air conditioner,Whynter,"whynter arc-12sd 12,000 btu (6,936 btu sacc) dual hose cooling portable air conditioner",https://www.whynter.com/product/compact-dual-hose-portable-air-conditioner-heater-12000-btu-arc-12sdh/
portable air conditioner,Frigidaire,3-in-1 Heat/Cool Portable Room Air Conditioner,https://www.frigidaire.com/en/p/home-comfort/air-conditioners/portable-air-conditioners/FHPH142AC1
