Product,Brand,Model,URL
coffee maker,Miele,cm 5310 silence,https://www.miele.ca/en/Shop/products/detail/countertop-coffee-machines-cm-5310-silence-11670630-p
coffee maker,Gaggia,Cadorna Prestige,https://www.gaggia-na.com/products/gaggia-cadorna-prestige
coffee maker,Hamilton Beach,FlexBrew 2-Way Coffee Maker,https://hamiltonbeach.com/flexbrew-coffee-makers
coffee maker,Philips,3200 Series Fully Automatic Espresso Machine,https://home-appliances.philips/products/philips-3200-lattego-ice-coffee
coffee maker,Nespresso,Vertuo Next White,https://www.nespresso.com/us/en/order/machines/vertuo/vertuo-next-white
coffee maker,Jura,E6 Piano White,https://us.jura.com/en/homeproducts/machines/E6-Piano-White-NAC-15559
coffee maker,Breville,the Barista Express,https://www.breville.com/us/en/products/espresso/bes870.html
coffee maker,DeLonghi,Dinamica ECAM35075SI,https://www.delonghi.com/en-us/dinamica-automatic-coffee-and-espresso-machine/p/ECAM35075SI
