Product,Brand,Model,URL
sleeping bag,Valandre,swing co 850,https://www.valandre.com/sleeping-bags/25-swing-co-850.html
sleeping bag,Snugpak,BASECAMP OPS Navigator,https://snugpakusa.com/product.php?id=21
sleeping bag,Western Mountaineering,Alpinlite,https://www.westernmountaineering.com/product/alpinlite/
sleeping bag,Rab,Neutrino 400,https://rab.equipment/eu/neutrino-400
sleeping bag,NEMO,Jazz 20,https://www.nemoequipment.com/products/jazz-camping-sleeping-bag
sleeping bag,Sea to Summit,Ascent AcII,https://seatosummit.com/products/the-ascent-down-sleeping-bag
sleeping bag,Mountain Hardwear,Phantom 0F-18C,https://www.mountainhardwear.com/p/phantom-0f%2F-18c-2063651.html
sleeping bag,Marmot,Sawtooth,https://www.marmot.com/equipment/sleeping-bags/down-bags/mens-sawtooth-15-sleeping-bag/AFS_195115053765.html
