Product,Brand,Model,URL
leaf blower,Makita,XBU02PT1,https://www.makitatools.com/products/details/XBU02PT1
leaf blower,Worx,WG520,https://www.worx.com/turbine-600-electric-leaf-blower-wg520.html
leaf blower,Black Decker,LSW221,https://www.blackanddecker.com/products/lsw221
leaf blower,Dewalt,DCBL722P1,https://www.dewalt.com/product/dcbl722p1/20v-max-xr-brushless-cordless-handheld-blower-kit-50ah
leaf blower,Ryobi,P2190,https://www.ryobitools.com/products/details/46396019561
leaf blower,Husqvarna,125B,https://www.husqvarna.com/us/leaf-blowers/125b/
leaf blower,Stihl,BR 800 C-E MAGNUM,https://www.stihl.ca/en/p/leaf-blowers-blowers-vacuum-shredders-br-800-95844
leaf blower,Poulan Pro,pr48bt,https://www.poulanpro.com/products/blowers/blower-pr48bt
