Product,Brand,Model,URL
wifi router,Ubiquiti,UniFi Dream Machine,https://store.ui.com/us/en/products/udm
wifi router,Synology,RT2600ac,https://www.synology.com/en-global/products/RT2600ac
wifi router,Google,Nest Wifi Router,https://store.google.com/product/nest_wifi_pro?hl=en-US
wifi router,Cisco,RV260W,https://www.cisco.com/c/en/us/products/collateral/routers/rv260-vpn-router/datasheet-c78-741409.html
wifi router,D-Link,AQUILA PRO AI AX3000 Wi-Fi 6 Smart Mesh System (2-Pack),https://www.dlink.com.au/home-solutions/M30-2PK-AQUILA-PRO-AI-AX3000-Mesh-System
wifi router,Linksys,WRT3200ACM AC3200 Gigabit Wi-Fi Router,https://www.linksys.com/ca/wrt3200acm-ac3200-gigabit-wi-fi-router/WRT3200ACM-CA.html
wifi router,TP-Link,Archer C7,https://www.tp-link.com/us/home-networking/wifi-router/archer-c7/
wifi router,Netgear,"Nighthawk 8-Stream Dual-Band WiFi 6 Router, 6Gbps",https://www.netgear.com/home/wifi/routers/rax80/
