Product,Brand,Model,URL
air purifier,Bionaire,Bionaire 99.99% True HEPA Air Purifier with UV Technology,https://www.bionairecanada.com/en_CA/air-purification/bionaire-99.99-true-hepa-air-purifier-with-uv-technology/BAP536UV-CN.html
air purifier,AEG,AX9 CONNECTED AIR PURIFIER 620 M3/H,https://www.aeg.co.uk/vacuums-home-comfort/air-comfort/air-purifiers/oxygen-air-purifier/ax91-604gy/
air purifier,Sharp,Sharp Plasmacluster Ion Air Purifier,https://shop.sharpusa.com/sharp-plasmacluster-ion-air-purifier-with-true-hepa-for-medium-rooms-fpk50uw/
air purifier,Rabbit Air,A3 asthma and allergy friendly AIR PURIFIER,https://www.rabbitair.com/products/a3-aafa-air-purifier?variant=33014685794327
air purifier,IQAir,IQAir GC MultiGas,https://www.iqair.com/us/products/air-purifiers/gc-multigas
air purifier,TruSens,"TruSens Z-1000 Air Purifier, Personal/Small Room",https://www.trusens.com/en-au/p/air-purifiers/trusens-z-1000-air-purifier-personalsmall-room/
air purifier,Honeywell,Honeywell Air Genius 5 Oscillating Tower Air Purifier and Odor Reducer HFD320,https://www.honeywellstore.com/store/products/airgenius-5-air-cleaner-and-odor-reducer-hfd320.htm
air purifier,Dyson,Dyson Purifier Cool Formaldehyde TP09,https://www.dyson.com.sg/dyson-purifier-cool-formaldehyde-white-gold
