Product,Brand,Model,URL
string trimmer,RedMax,TRZ230S,https://www.redmax.com/us/trimmers/trz230s/
string trimmer,Toro,60v max* 13 in. (33.0 cm) / 15 in. (38.1 cm) brushless string trimmer,https://flexforce.toro.com/products/60v-max-brushless-trimmer/
string trimmer,Honda,HHT35SLTAT,https://powerequipment.honda.com/trimmers/models/hht35sltat
string trimmer,Craftsman,V20* BRUSHLESS RP String Trimmer (5.0Ah),https://www.craftsman.com/products/cmcst930p1/v20-brushless-rp%E2%84%A2-string-trimmer-5-0ah
string trimmer,Makita,36V (18V X2) LXT Brushless String Trimmer Kit with 4 Batteries (5.0Ah),https://www.makitatools.com/products/details/XRU15PT1
string trimmer,DeWalt,20V MAX* 13 in. Cordless String Trimmer With Charger and 4.0Ah Battery,https://www.dewalt.com/product/dcst925m1/20v-max-13-cordless-string-trimmer-charger-and-40ah-battery
string trimmer,BlackDecker,20V MAX* 10 in. String Trimmer / Edger,https://www.blackanddecker.com/products/lst201
string trimmer,Husqvarna,HUSQVARNA 122C,https://www.husqvarna.com/us/string-trimmers/122c/
