Product,Brand,Model,URL
screw driver,Craftsman,CMHT65043,https://www.craftsman.com/products/cmht65043/jewelers-screwdriver-set-6-pc
screw driver,Ridgid,EZ Change Faucet Tool,https://www.ridgid.com/us/en/ez-change-faucet-tool
screw driver,Stanley,STANLEY FATMAX Simulated Diamond Tip 6 Pc Screwdriver Set with Standard & Phillips,https://www.stanleytools.com/product/fmht62052/stanley-fatmax-simulated-diamond-tip-6-pc-screwdriver-set-standard-phillips
screw driver,Wera,series 7400 kraftform torque screwdrivers,https://www-de.wera.de/dw2017/en/torque_screwdrivers
screw driver,Makita,"18V LXT Lithium_Ion Brushless Cordless 4,000 RPM Drywall Screwdriver, Tool Only",https://www.makitatools.com/products/details/XSF03Z
screw driver,DeWalt,8V MAX Gyroscopic Screwdriver,https://www.dewalt.com/product/dcf680n1/8v-max-gyroscopic-screwdriver-1-battery-kit
screw driver,Bosch,Go 3.6V Smart Screwdriver,https://www.bosch-professional.com/om/en/products/bosch-go-06019H2100
screw driver,Megapro,Automotive Ratcheting 13-in-1 Screwdriver,https://shop.megaprotools.com/products/automotive-ratcheting-star-screwdriver
