Product,Brand,Model,URL
wood router,Axiom Precision,AOD468 - Axiom Pro and Elite Overarm Dust System,https://www.axiomprecision.com/axiom-overarm-dust-system.html
wood router,Rockwell,BladeRunner X2 10 Piece T-Shank Blade Set,https://www.rockwelltools.com/product/bladerunner-x2-10-piece-t-shank-blade-set/
wood router,WEN,RT6033,https://wenproducts.com/products/wen-rt6033-15-amp-variable-speed-plunge-woodworking-router-kit-with-carrying-case-and-edge-guide
wood router,Skil,Router Table and Fixed Base Router Kit,https://www.skil.com/router-table-10amp-fixed-base-router-rt1323-01/
wood router,Ridgid,5.5 Amp Corded Compact Router,https://www.ridgid.com/us/en/trim-router
wood router,Milwaukee,M18 FUEL Compact Router,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/2723-20
wood router,Makita,Makita RT0701C 1_1/4 HP* Compact Router,https://www.makitatools.com/products/details/RT0701C
wood router,Bosch,Bosch MRF23EVS,https://www.boschtools.com/us/en/products/mrf23evs-0601624011
