Product,Brand,Model,URL
curling iron,Sultra,The Bombshell Rod Curling Rod,https://sultra.com/products/bombshell-1-5-inch-clipless-curling-rod
curling iron,CROC,CROC Classic Curling Iron 34,https://crocofficial.com/products/new-classic-infrared-black-titanium-flat-iron-1-5-inches
curling iron,LOreal Professionnel,Steampod Curling Iron,https://us.lorealprofessionnel.com/steampod
curling iron,Remington,Pro 1-1 Curling Wand with Pearl Ceramic Technology,https://www.remingtonproducts.com/products/hair-care/hair-care/curling-wands-and-irons/ci9538d-large-pearl-ceramic-styling-wand.aspx
curling iron,BIO IONIC,Long Barrel Styler Pro Curling Iron 1,https://bioionic.com/products/long-barrel-curling-iron
curling iron,GHD,Curve Soft Curl Iron,https://www.ghdhair.com/us/curl-irons/ghd-soft-curl-curling-iron-p-302
curling iron,T3,SinglePass Curl 1.25,https://www.t3micro.com/product/singlepass-curl-clip-curling-iron
curling iron,Hot Tools,hot tools black gold curl bar - 4 barrel set,https://uk.hottools.com/products/limited-edition-hot-tools-24k-black-gold-curl-bar-32mm
