Product,Brand,Model,URL
eyeshadow,Milani,Gilded Shadow Stick,https://www.milanicosmetics.com/products/gilded-eyeshadow-sticks
eyeshadow,LOral Paris,colour riche monos eyeshadow,https://www.lorealparisusa.com/makeup/eye/eye-shadow/colour-riche-eyeshadow
eyeshadow,NYX Professional Makeup,Warm Neutrals Ultimate Shadow Palette,https://www.nyxcosmetics.com.au/eye/eyeshadow-palettes/ultimate-shadow-palette/NYX_337.html
eyeshadow,Tarte Cosmetics,Tarteist PRO Amazonian Clay Palette,https://tartecosmetics.com/shop/tarteist-pro-to-go-palette-953.html
eyeshadow,Pat McGrath Labs,mothership duo,https://www.patmcgrath.com/collections/mothership-duo
eyeshadow,NARS,orgasm rising eyeshadow palette,https://www.narscosmetics.com/USA/orgasm-rising-eyeshadow-palette/0194251135892.html
eyeshadow,ColourPop,Sweet Talk Palette,https://colourpop.com/products/sweet-talk-eyeshadow-palette
eyeshadow,Too Faced,Chocolate Bar Eye Shadow Palette,https://www.toofaced.com/product/23483/106598/eye-makeup/eye-shadow-palettes/better-than-chocolate-eye-shadow-palette/cocoa-infused-eye-shadow-palette
