Product,Brand,Model,URL
robot vacuum,Bissell,EV675 ROBOT VACUUM CLEANER,https://www.bissell.eu/products/ev675-robot-vacuum-cleaner.html
robot vacuum,Miele,Scout RX3,https://www.miele.ca/en/Shop/products/detail/robot-vacuum-cleaners-scout-rx3-home-vision-11830100-p
robot vacuum,Ilife,PX-F031 High Performance Filter (8 pcs) l Applicable to ILIFE A80 Max A9 A10 S8 Pro,https://iliferobot.store/products/px-f031
robot vacuum,Samsung,Jet Bot AI,https://news.samsung.com/global/bespoke-jet-bot-aiplus-the-smart-choice-for-floor-cleaning-and-pet-monitoring-even-when-youre-away-from-home
robot vacuum,Xiaomi,Mi Robot Vacuum,https://www.mi.com/global/product/mi-robot-vacuum-mop-2
robot vacuum,Eufy,eufy x10 pro omni,https://www.eufy.com/appliance-x10-omni
robot vacuum,Ecovacs,Deebot Ozmo 920,https://www.ecovacs.com/au/deebot-robotic-vacuum-cleaner/deebot-ozmo-920
robot vacuum,Shark,IQ Robot XL,https://www.sharkclean.com/page/robot-vacuums
