Product,Brand,Model,URL
hair straightener,Croc,The New Classic Infrared Flat Iron,https://crocofficial.com/products/new-classic-infrared-black-titanium-flat-iron-1-5-inches
hair straightener,Amika,The Confidante Moisture Maintenance Styler,https://loveamika.com/products/the-confidante-moisture-maintenance-styler
hair straightener,FHI Heat,"platform signature pro styler - 1""",https://www.fhiheat.com/products/flat-iron-fhi-heat-platform-professional-styler-one-and-three-quarter-inch
hair straightener,Bio Ionic,10x Pro Straightening Styling Iron,https://bioionic.com/products/10x-pro-styling-iron
hair straightener,T3,SMOOTH ID,https://www.t3micro.com/product/smooth-id-smart-straightening-and-styling-flat-iron
hair straightener,Remington,"1"" Anti-Static Flat Iron",https://www.remingtonproducts.com/products/hair-care/hair-care/flat-irons/s5502-1-inch-anti-static-flat-iron.aspx
hair straightener,ghd,Platinum Styler,https://www.ghdhair.com/us/flat-irons/ghd-platinum-plus-black-flat-iron-p-453
hair straightener,BaBylissPRO,"BABYLISSPRO NANO TITANIUM 1"" ULTRA-THIN STRAIGHTENER",https://babylisspro.com/babylisspro-nano-titanium-1-ultra-thin-straightener/BNT4072TUC.html
