Product,Brand,Model,URL
electric sander,Porter-Cable,382 5 Random Orbit Sander,https://www.portercable.com/product/382/5-random-orbit-palm-grip-sander
electric sander,SKIL,SR211601 Random Orbit Sander,https://www.skil.com/5-inch-random-orbital-sander-sr211601/
electric sander,Metabo,FSX 200 Intec,https://www.metabo.com/com/en/tools/cutting-sanding-milling/wood-processing/random-orbital-sander/fsx-200-intec-609225190-random-orbital-sander.html
electric sander,Milwaukee,2648-20 M18 5 Random Orbit Sander,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Sanders/2648-20
electric sander,BLACKDECKER,BDCMS20C 20V MAX Lithium Ion Mouse Sander,https://www.blackanddecker.com/products/bdcms20c
electric sander,Ryobi,P411 ONE 18V Random Orbit Sander,https://www.ryobitools.com/products/details/33287197224
electric sander,DeWalt,5 in. Variable Speed Random Orbit Sander Kit - H&L Pad,https://www.dewalt.com/product/dwe6423k/5-variable-speed-random-orbit-sander-kit-hl-pad
electric sander,Bosch,ROS20VSC PROFESSIONAL Random Orbit Sander,https://www.boschtools.com/us/en/products/ros20vsc-0601387514
